City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jacqueville,CI,5.2052,-4.4146,80.51,86,78,5.19,broken clouds
1,Hilo,US,19.7297,-155.09,68.4,95,34,1.01,scattered clouds
2,Hermanus,ZA,-34.4187,19.2345,64.9,83,100,4.12,overcast clouds
3,Port Blair,IN,11.6667,92.75,86.04,62,40,9.22,scattered clouds
4,Talaya,RU,61.3833,152.75,-28.88,88,96,1.23,overcast clouds
5,Port-Gentil,GA,-0.7193,8.7815,80.82,81,91,5.88,light rain
6,Mar Del Plata,AR,-38.0023,-57.5575,66.87,85,0,14.0,clear sky
7,Barrow,US,71.2906,-156.7887,-16.58,63,100,6.91,snow
8,Jamestown,US,42.097,-79.2353,36.01,64,100,6.91,mist
9,Albany,US,42.6001,-73.9662,39.81,72,100,4.61,overcast clouds
10,Souillac,MU,-20.5167,57.5167,80.69,69,2,7.47,clear sky
11,Saskylakh,RU,71.9167,114.0833,-0.17,94,100,14.2,overcast clouds
12,Hofn,IS,64.2539,-15.2082,18.82,63,15,9.48,few clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,72.66,87,56,5.77,broken clouds
14,Thompson,CA,55.7435,-97.8558,-8.99,99,100,4.25,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,28.77,light rain
16,Port Elizabeth,ZA,-33.918,25.5701,74.12,61,0,7.27,clear sky
17,Great Yarmouth,GB,52.6083,1.7305,42.24,81,100,10.49,overcast clouds
18,Vaini,TO,-21.2,-175.2,78.96,100,20,8.05,few clouds
19,Tuatapere,NZ,-46.1333,167.6833,66.81,76,56,2.39,broken clouds
20,Martapura,ID,-3.4167,114.85,86.09,66,40,5.75,moderate rain
21,Talnakh,RU,69.4865,88.3972,-5.8,98,100,10.92,overcast clouds
22,Pingliang,CN,35.5392,106.6861,30.74,84,100,4.5,overcast clouds
23,Mudon,MM,16.2578,97.7164,91.76,24,64,9.08,broken clouds
24,Ushuaia,AR,-54.8,-68.3,40.21,96,100,9.04,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,69.51,94,100,3.6,overcast clouds
26,Beringovskiy,RU,63.05,179.3167,-24.34,92,19,6.46,few clouds
27,Georgetown,MY,5.4112,100.3354,85.95,73,20,5.75,few clouds
